ids,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2021,1/2/2021,1/3/2021,1/4/2021,1/5/2021,1/6/2021,1/7/2021,1/8/2021,1/9/2021,1/10/2021,1/11/2021,1/12/2021,1/13/2021,1/14/2021,1/15/2021,1/16/2021,1/17/2021,1/18/2021,1/19/2021,1/20/2021,1/21/2021,1/22/2021,1/23/2021,1/24/2021,1/25/2021,1/26/2021,1/27/2021,1/28/2021,1/29/2021,1/30/2021,1/31/2021,2/1/2021,2/2/2021,2/3/2021,2/4/2021,2/5/2021,2/6/2021,2/7/2021,2/8/2021,2/9/2021,2/10/2021,2/11/2021,2/12/2021,2/13/2021,2/14/2021,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/4/2021,5/5/2021,5/6/2021,5/7/2021,5/8/2021,5/9/2021,5/10/2021,5/11/2021,5/12/2021,5/13/2021,5/14/2021,5/15/2021,5/16/2021,5/17/2021,5/18/2021,5/19/2021,5/20/2021,5/21/2021,5/22/2021,5/23/2021,5/24/2021,5/25/2021,5/26/2021,5/27/2021,5/28/2021,5/29/2021,5/30/2021,5/31/2021,6/1/2021,6/2/2021,6/3/2021,6/4/2021,6/5/2021,6/6/2021,6/7/2021,6/8/2021,6/9/2021,6/10/2021,6/11/2021,6/12/2021,6/13/2021
14011097549,5,3,5,3,3,5,2,3,2,3,2,3,4,3,2,2,3,2,5,3,3,2,2,4,4,4,3,5,2,4,2,5,5,5,3,3,2,2,5,4,4,2,4,3,5,5,4,3,2,5,2,4,5,4,4,5,4,2,3,5,3,4,2,5,3,3,4,3,2,5,3,2,2,3,4,2,2,3,3,5,5,4,3,5,5,5,4,2,4,4,2,2,5,4,5,4,2,5,3,2,4,5,2,2,5,3,4,2,4,5,4,4,2,4,2,3,3,4,4,5,2,2,5,5,4,4,4,5,3,3,2,3,2,3,2,5,4,4,3,5,4,2,4,3,3,3,3,2,2,3,5,3,2,5,3,4,3,4,4,4,3,2,2,4,4,3,5,4,3,2,3,5,3,4,4,5,2,3,5,2,5,2,2,4,2,3,2,5,3,2,5,2,5,5,4,2,2,2,3,4,4,3,4,5,2,3,2,4,3,3,5,2,5,4,5,2,3,5,5,2,5,4,4,2,4,3,4,5,3,3,5,3,5,4,2,5,5,5,5,4,2,4,5,4,5,5,4,5,3,4,3,5,5,2,2,5,2,2,2,4,2,3,3,3,4,5,2,4,3,2
14011097551,2,4,5,3,3,5,5,2,4,4,2,2,2,2,2,4,4,4,3,2,4,5,4,2,5,5,3,4,4,2,3,4,5,5,4,2,3,2,2,3,5,5,5,3,3,4,3,3,4,4,2,3,5,3,5,5,4,5,4,3,3,5,4,3,5,3,3,2,3,2,4,5,2,4,3,4,3,5,4,3,3,5,4,4,4,4,5,2,4,3,4,2,4,2,5,3,5,4,5,4,4,2,2,3,4,4,2,4,4,5,2,2,4,3,5,2,4,4,5,5,5,3,2,3,2,3,2,4,5,2,5,5,3,4,3,4,5,5,3,2,5,4,3,5,3,4,3,3,5,4,4,5,4,3,4,4,5,3,3,4,4,3,3,5,3,4,5,4,3,3,3,2,5,5,3,5,3,2,5,3,3,4,5,5,5,2,5,2,3,5,2,2,5,2,5,3,3,2,2,4,5,5,5,5,3,5,3,5,5,2,4,3,2,3,3,5,3,4,2,2,4,3,5,4,5,2,2,3,3,4,4,3,5,3,3,4,5,3,2,4,2,4,2,3,5,2,2,2,2,2,4,4,5,5,2,2,2,2,2,4,5,4,5,4,5,2,2,4,4,5
14011097555,0,1,1,2,2,2,3,1,2,2,0,0,1,0,2,2,1,1,1,2,3,3,2,2,0,2,3,1,3,3,2,1,3,2,0,0,3,1,1,1,0,3,2,1,0,2,1,0,1,0,3,3,2,1,0,1,3,0,2,2,2,1,0,1,3,3,2,1,3,1,3,2,3,0,2,0,1,3,3,1,1,0,2,2,2,1,3,1,0,2,1,0,0,1,2,2,1,3,1,2,0,1,1,0,0,2,0,2,3,3,2,3,0,2,2,1,3,3,2,3,3,2,1,0,3,3,2,0,1,1,0,1,0,0,1,0,3,3,0,3,0,2,1,2,0,3,0,3,1,1,1,0,1,3,3,2,3,2,1,1,3,3,2,0,2,1,2,2,1,1,2,2,2,3,2,3,2,0,3,3,2,2,0,2,1,2,1,0,0,3,1,2,0,1,2,3,1,1,1,1,0,0,0,2,2,3,0,0,0,0,1,2,1,1,0,3,3,2,0,3,3,3,0,3,2,2,0,3,0,3,2,1,1,2,0,0,3,1,3,2,1,0,3,2,1,0,0,0,1,0,3,2,3,2,1,3,3,1,1,3,2,0,1,0,1,2,0,3,1,2
14011097555,0,2,0,1,2,2,0,1,2,2,0,2,1,0,2,2,2,1,3,3,3,0,0,2,2,1,2,0,1,1,1,0,3,3,0,1,0,0,3,2,0,2,3,3,2,1,2,1,1,2,3,2,2,2,3,0,1,2,0,2,3,1,3,2,3,0,1,2,1,0,0,0,3,0,1,1,3,3,3,2,2,1,3,1,2,3,1,1,0,0,1,3,0,1,1,3,1,3,3,1,3,3,2,0,3,3,1,3,3,1,3,1,3,0,2,2,2,1,1,2,1,0,3,1,0,0,1,0,0,0,3,3,3,0,1,2,0,3,3,3,0,3,3,3,0,3,2,1,1,2,2,0,0,3,1,0,1,3,3,2,0,3,3,1,2,0,1,2,0,1,0,0,1,2,1,1,2,2,1,0,3,0,0,0,1,2,1,0,1,2,3,3,0,2,1,3,3,2,0,1,2,0,1,1,2,0,2,3,3,3,1,3,2,1,3,3,3,3,1,1,0,2,3,1,0,0,0,1,0,0,0,2,0,2,0,1,1,3,1,0,3,1,3,0,2,2,2,1,1,3,0,3,2,3,0,1,1,1,2,3,1,1,3,3,2,3,3,2,2,3
14011097557,5,4,5,2,2,4,5,3,3,4,4,4,4,4,2,5,4,5,3,3,3,5,2,5,4,4,4,4,2,5,4,5,4,3,3,2,2,4,2,5,5,2,5,5,2,2,3,3,4,3,3,5,3,3,2,3,2,2,4,3,5,3,5,4,2,3,3,2,4,2,3,2,4,4,2,4,4,5,5,3,5,4,5,2,4,5,4,2,5,3,3,2,5,3,3,4,2,2,5,4,2,5,4,5,5,2,2,5,3,3,4,2,2,5,4,4,5,4,4,5,5,3,3,4,4,3,3,2,2,4,2,3,2,5,2,3,3,4,2,2,3,2,4,3,4,5,5,2,4,3,2,4,2,2,5,4,2,5,3,2,2,5,2,4,4,2,2,5,4,2,5,4,5,4,2,2,4,5,3,2,5,4,4,2,4,5,2,4,5,2,4,2,2,3,4,4,2,3,4,3,5,5,3,2,3,3,4,2,2,3,3,2,4,5,5,2,2,4,5,5,5,5,3,4,2,3,5,2,2,2,3,5,4,5,2,2,3,5,4,3,4,4,4,2,2,5,3,5,4,4,2,3,5,4,2,5,4,2,3,2,2,2,2,3,5,4,4,2,2,3
14011097559,2,0,2,2,1,2,0,1,0,3,0,0,2,0,0,3,2,2,3,0,0,1,0,0,2,2,2,3,2,3,2,3,1,0,2,1,1,0,2,3,3,3,0,0,1,2,3,0,1,0,2,0,1,1,2,1,2,3,3,1,2,1,0,0,2,3,3,2,2,1,3,1,1,0,0,3,2,2,1,2,2,3,1,1,0,1,0,2,3,2,3,1,0,3,1,0,0,1,2,1,1,1,0,1,1,0,1,0,1,3,0,0,0,2,3,3,2,1,3,0,3,1,2,1,0,1,0,3,1,2,3,2,1,3,2,0,1,0,1,3,2,2,3,2,2,0,3,3,0,3,2,2,1,2,2,0,2,1,2,1,3,0,1,3,0,1,3,0,3,2,2,2,1,2,2,0,2,2,0,3,3,3,2,3,1,3,1,1,0,1,2,3,1,1,1,1,2,2,2,3,0,0,1,0,3,0,0,3,3,2,1,0,1,1,0,1,0,0,1,3,3,0,2,2,1,1,1,0,2,2,3,3,3,1,2,0,1,0,1,2,0,0,1,2,3,0,0,0,2,0,2,0,1,2,0,1,0,1,1,2,2,3,2,3,3,1,1,2,1,1
14011097559,2,1,3,0,1,3,3,0,1,2,1,2,0,1,2,0,3,3,1,3,0,3,3,3,0,2,2,2,3,1,1,3,3,2,0,1,0,3,1,1,1,0,3,1,2,1,0,0,1,0,2,2,1,2,1,0,3,2,3,0,0,2,0,0,3,3,3,3,0,2,1,3,1,1,3,0,0,1,3,0,1,1,2,2,3,2,3,0,3,2,1,1,3,2,0,1,0,1,1,2,2,0,3,2,2,2,2,2,2,2,3,1,0,3,3,0,2,3,2,2,3,1,1,1,3,0,2,1,3,0,3,1,0,3,3,2,3,2,0,0,0,1,2,1,2,3,1,2,3,0,2,1,1,0,2,0,3,1,0,1,1,3,0,0,2,0,3,1,0,1,2,0,1,3,1,3,2,2,2,1,2,3,2,2,2,0,2,0,3,2,1,3,0,3,1,1,1,3,3,3,2,0,3,3,1,2,1,1,0,0,3,2,1,2,3,3,1,3,0,0,0,3,3,3,0,3,3,0,0,2,1,2,1,2,3,0,0,2,1,3,2,3,0,3,0,0,0,1,3,1,2,2,3,3,0,1,2,3,0,3,3,0,1,2,1,0,2,1,2,3
14011097560,1,0,1,3,3,0,2,1,3,3,0,0,3,3,3,0,1,2,2,1,3,0,1,1,2,0,0,0,2,0,1,0,0,2,2,3,3,3,2,2,2,1,3,3,0,1,0,0,0,2,2,2,3,1,2,2,1,1,2,2,0,0,1,0,1,2,1,3,2,1,3,0,0,3,1,3,3,0,2,1,2,2,2,1,0,3,1,1,0,0,2,2,1,1,2,2,2,1,1,3,0,2,0,1,0,0,1,0,2,1,1,3,0,2,3,2,1,2,2,3,1,1,0,3,0,0,0,0,1,3,0,3,0,1,3,1,1,0,3,1,0,0,1,0,0,3,1,2,0,1,1,2,0,2,3,0,2,2,2,0,2,0,1,1,0,3,3,0,2,2,3,0,0,0,0,2,1,1,0,2,0,3,3,0,1,3,0,1,3,0,2,1,3,2,0,2,0,2,2,2,1,0,1,2,1,3,0,1,2,2,1,3,1,3,3,0,2,3,0,2,3,3,0,3,3,2,0,1,2,0,0,2,3,3,2,3,0,3,3,3,3,1,0,2,2,3,3,1,2,3,1,3,0,2,3,0,0,3,0,3,0,2,2,0,0,0,3,0,1,0
14011097564,2,4,3,4,2,4,2,5,3,5,4,3,3,3,5,2,2,4,4,4,5,5,5,4,3,5,2,5,2,3,3,3,5,3,2,2,4,2,5,2,2,2,4,2,3,4,3,2,4,2,4,3,4,2,4,5,2,5,3,5,5,4,5,5,3,4,2,2,3,3,3,3,4,3,5,2,3,2,5,4,5,4,3,4,4,3,4,3,2,4,5,4,4,2,2,5,3,5,5,2,4,2,2,4,2,5,4,2,4,2,3,4,5,5,5,5,4,5,3,4,4,3,4,2,2,5,2,4,2,4,3,3,3,5,5,3,4,3,4,4,2,2,3,3,3,4,5,5,2,3,2,3,2,2,4,2,5,3,2,3,4,4,5,4,5,3,2,5,4,5,3,3,3,2,2,4,3,3,3,4,5,2,2,2,5,5,3,2,4,2,3,3,4,2,3,2,3,4,5,2,5,3,2,2,5,5,5,4,4,5,4,4,2,3,4,3,5,3,2,5,5,5,5,5,2,3,4,4,2,4,3,5,2,4,4,3,4,3,2,3,4,2,3,4,5,2,3,2,4,4,5,2,3,3,4,4,5,3,2,2,5,5,3,2,4,2,5,2,5,2
14011097567,2,2,4,5,5,2,5,3,4,5,3,5,2,3,3,3,4,4,4,3,2,4,5,4,4,5,5,4,5,4,3,3,2,4,2,4,3,5,5,4,5,5,2,2,2,3,3,4,2,4,4,5,4,4,4,3,4,2,4,2,4,3,2,3,4,3,2,2,5,2,5,5,4,2,5,3,3,2,4,5,3,2,2,2,4,2,4,4,3,2,2,5,2,3,4,3,5,2,5,2,4,3,3,5,3,4,3,2,3,2,2,2,5,2,2,5,3,2,5,2,2,5,4,2,4,2,5,4,4,5,3,5,4,3,5,3,3,4,3,3,3,4,4,2,3,5,2,2,3,4,4,2,5,5,3,4,2,2,4,3,3,2,2,3,2,3,2,4,3,4,4,5,5,5,4,5,5,5,4,5,4,4,2,3,2,5,2,3,3,5,3,3,3,4,3,4,4,3,3,3,2,2,3,5,5,2,3,2,3,2,5,3,3,4,2,3,3,4,5,4,2,2,4,2,5,4,4,2,4,4,2,4,5,4,2,2,3,3,5,3,4,5,2,2,5,4,2,3,5,2,4,4,4,4,5,3,2,4,2,3,4,5,5,2,4,3,2,5,2,3
14011097571,1,1,3,2,2,2,2,1,1,0,1,1,3,2,3,3,2,1,2,3,0,0,0,0,2,2,1,0,1,0,3,1,3,2,1,1,3,3,2,2,0,0,3,1,0,0,0,2,2,0,2,0,1,1,1,0,2,3,2,0,1,0,1,1,0,1,2,1,2,2,2,2,0,3,2,1,3,0,3,1,1,0,3,3,0,0,2,2,3,3,1,0,1,2,2,2,1,1,0,3,3,0,3,0,0,2,2,0,0,2,2,3,3,0,3,0,0,3,3,2,1,3,1,1,3,1,1,3,0,3,1,1,1,2,1,2,0,0,3,1,3,0,0,0,0,3,3,3,3,2,0,2,1,2,1,3,1,0,2,1,3,2,0,3,1,0,3,0,1,3,0,2,2,0,2,0,1,2,2,0,2,2,2,2,0,0,3,3,1,2,2,2,1,0,0,3,3,2,1,2,1,3,2,0,0,0,1,1,3,2,2,1,2,1,1,0,1,2,2,0,0,2,1,3,3,2,1,1,2,3,2,3,1,1,1,2,3,1,0,2,1,1,0,1,1,1,1,1,3,3,1,1,3,0,1,2,3,0,2,3,1,1,0,2,2,0,1,1,1,2
14011097571,3,3,0,0,3,2,3,3,2,2,3,0,1,0,2,0,0,3,1,0,3,1,3,1,3,3,3,2,3,1,1,1,3,0,3,0,0,2,3,0,1,1,2,0,3,1,2,2,1,1,2,3,0,2,1,3,0,1,3,2,0,3,1,3,0,3,2,3,3,1,0,3,1,1,3,2,0,3,2,1,0,3,1,0,1,3,2,2,0,0,2,1,0,2,1,0,2,1,3,1,1,1,2,2,0,2,1,1,3,2,1,0,1,0,0,1,2,0,0,2,1,1,0,1,0,3,0,2,2,0,3,2,0,0,0,2,0,0,1,3,1,1,2,1,3,2,0,0,3,1,0,1,2,3,1,1,0,3,2,1,1,0,2,3,0,3,3,2,2,1,2,3,1,0,3,2,3,3,1,0,2,2,0,2,3,0,3,2,0,1,2,3,3,3,1,0,0,0,0,1,3,1,3,2,2,0,0,1,3,0,3,3,3,3,0,0,1,3,1,0,2,1,3,0,2,0,2,2,2,1,3,3,1,1,3,3,0,1,1,3,3,2,0,0,2,3,0,2,0,0,0,3,3,2,3,3,0,2,1,3,0,0,1,3,3,1,3,1,2,3
14011097581,2,0,0,0,0,0,3,0,3,3,3,2,2,1,3,2,1,3,3,0,2,2,0,2,1,3,1,0,3,2,2,3,1,3,1,2,1,3,2,1,1,1,3,2,3,1,2,3,1,3,0,0,2,1,2,1,2,3,2,3,1,2,0,3,3,0,3,2,2,3,2,0,2,0,3,3,2,0,0,2,0,1,2,1,2,3,0,3,2,0,2,3,1,2,1,1,2,0,1,0,3,2,2,0,3,2,1,2,1,0,3,3,2,0,1,3,0,0,0,3,2,2,1,3,2,1,0,0,3,2,1,3,0,3,0,3,3,0,0,1,0,2,2,1,2,0,3,1,1,3,3,3,0,1,0,0,3,2,2,3,0,3,1,0,1,0,0,1,3,3,0,2,2,1,0,0,3,2,2,3,2,0,3,0,3,1,0,3,2,3,2,2,1,1,1,0,2,3,2,3,3,0,1,0,1,3,1,0,3,3,1,2,1,1,0,3,2,2,2,2,2,2,2,1,0,3,3,0,1,0,3,2,3,1,1,0,1,3,1,3,3,1,2,2,0,3,3,0,3,2,3,2,3,0,1,0,0,1,0,2,2,1,2,0,2,2,0,1,0,2
14011097582,5,2,4,2,3,2,2,3,3,4,5,4,3,2,3,3,4,2,4,3,3,5,2,2,4,5,5,4,3,5,3,4,3,4,5,2,5,2,2,5,4,2,4,3,5,3,3,5,4,2,2,2,2,3,5,5,2,3,3,4,5,3,5,5,5,5,5,2,2,2,2,5,5,5,3,4,4,3,4,5,2,3,2,2,3,4,2,5,3,3,4,3,5,5,3,5,3,2,2,4,3,4,3,3,2,4,4,4,2,4,4,2,5,2,5,5,5,2,5,2,5,5,2,5,2,4,4,5,2,3,4,2,3,4,5,4,5,3,4,2,4,2,5,2,3,4,2,3,2,5,5,5,5,2,5,3,4,2,5,4,3,2,3,2,2,2,4,4,2,4,3,2,4,5,5,2,3,4,3,2,5,5,4,5,5,5,4,2,5,3,5,2,4,4,5,2,2,3,5,3,5,2,4,3,5,3,2,3,2,3,3,5,5,2,3,3,2,4,5,4,3,4,2,2,4,3,3,5,3,4,4,4,2,5,3,5,3,3,3,5,4,4,4,5,3,2,2,2,5,4,3,4,4,3,4,4,5,3,2,5,5,5,2,3,5,2,4,4,2,2
14011097584,4,3,3,2,2,2,2,5,5,2,5,3,2,2,3,3,4,5,2,4,3,5,5,2,4,3,2,4,4,2,2,5,3,5,5,5,3,5,2,4,2,5,5,4,2,4,4,2,5,4,2,4,3,5,5,2,4,3,5,4,4,3,2,4,3,5,2,3,3,5,5,4,3,2,4,3,2,3,2,5,5,2,5,2,3,5,4,4,2,5,2,5,4,4,5,2,5,3,2,5,5,5,2,4,3,3,3,5,3,2,5,2,4,2,2,4,3,3,3,5,5,5,5,2,2,2,3,3,5,5,4,4,2,5,2,5,2,2,5,5,3,4,5,5,3,4,3,2,5,2,5,2,4,2,4,3,3,3,4,3,5,4,3,2,5,4,4,4,4,2,5,3,2,5,3,3,2,5,3,2,2,2,2,4,4,5,5,5,2,4,3,3,5,5,5,3,2,4,5,5,3,3,4,3,5,4,5,5,2,2,5,4,5,2,2,4,4,5,5,5,3,4,2,3,5,4,2,3,4,2,3,4,3,3,4,4,5,5,3,3,5,3,3,4,5,5,2,4,5,2,2,5,3,2,2,3,5,3,5,2,2,4,4,5,2,3,3,2,3,2
14011097585,2,1,3,2,1,1,1,0,0,0,2,0,0,2,3,2,3,0,0,2,1,3,3,3,0,3,2,3,0,2,3,1,2,2,0,1,3,3,0,0,3,1,2,0,2,0,0,1,0,3,3,1,2,1,0,0,1,3,0,1,2,0,3,2,2,1,3,3,1,1,0,3,3,0,2,2,2,0,2,2,0,2,1,0,3,0,0,2,2,2,2,2,0,2,3,0,1,1,1,0,3,1,1,3,1,3,0,3,1,2,2,2,0,2,0,2,1,2,0,1,1,3,3,2,3,2,0,3,0,3,2,0,2,2,2,1,0,0,0,2,0,3,3,3,2,1,3,0,2,2,3,3,1,2,0,3,0,1,0,1,3,1,2,3,2,2,2,2,2,1,1,1,0,1,3,3,0,1,3,0,1,0,3,2,2,3,0,2,0,2,0,1,2,1,3,0,1,3,3,2,2,3,1,3,0,1,1,0,0,3,1,1,3,1,3,0,0,2,0,2,1,1,3,0,0,3,2,3,3,0,0,2,1,1,0,0,2,2,1,1,2,1,1,3,2,1,0,0,3,1,3,1,2,3,0,3,3,1,0,1,0,3,0,1,3,0,2,0,3,0
14011097585,5,4,3,5,3,2,5,4,4,2,3,4,5,5,4,2,5,3,5,5,4,5,4,2,2,3,5,3,3,4,3,2,3,2,2,2,5,3,5,4,2,4,5,5,3,2,3,3,4,3,3,4,5,2,2,3,5,4,5,5,2,3,2,2,2,5,4,2,4,5,2,4,5,2,3,3,4,5,2,4,5,2,3,3,5,5,4,2,4,5,4,3,2,3,3,5,3,5,3,5,2,3,3,2,3,4,3,4,4,2,2,4,2,5,2,2,4,4,3,2,3,4,2,5,3,5,5,3,2,5,2,5,5,3,5,5,4,4,3,3,4,4,4,5,2,2,2,5,5,3,3,5,2,4,2,5,3,4,3,5,4,5,5,5,2,5,4,4,2,2,5,3,5,3,5,5,4,4,3,2,3,2,4,2,2,3,4,5,2,5,3,3,4,5,4,3,4,3,4,2,5,2,5,2,5,2,3,5,3,3,2,5,5,5,4,2,2,5,3,2,2,4,4,2,5,5,3,3,3,3,3,2,2,4,3,4,2,3,3,2,4,3,3,4,4,3,5,2,3,3,2,2,2,4,2,5,4,2,4,4,3,3,2,4,2,5,5,3,3,2
14011097587,1,0,0,0,1,0,1,1,1,2,0,0,2,2,1,1,2,0,2,2,3,3,2,0,1,3,1,3,1,2,3,2,3,3,3,0,1,3,1,3,2,2,0,0,3,1,3,1,1,0,1,1,1,0,3,0,1,2,0,3,0,3,2,3,2,1,1,0,3,3,0,3,0,0,0,1,2,3,1,3,0,2,0,2,3,2,3,3,1,1,2,3,3,1,3,1,0,2,0,0,3,0,3,1,3,1,2,0,3,0,0,2,1,2,1,1,3,2,1,3,1,1,1,2,0,3,0,2,1,0,2,2,3,0,3,2,1,2,2,1,1,2,2,1,2,3,3,0,2,1,0,1,3,2,2,1,3,1,2,2,2,2,3,0,2,0,1,0,2,3,2,3,1,1,2,3,1,1,2,0,0,3,3,1,2,1,1,0,2,2,3,2,0,2,1,1,2,0,2,2,0,2,1,1,1,2,2,3,3,3,3,1,3,2,0,3,3,0,1,0,2,1,3,3,0,1,3,2,2,3,0,1,2,0,0,3,1,1,1,3,0,1,3,1,0,1,0,1,1,1,2,3,3,2,1,0,2,3,3,0,0,2,0,3,0,3,0,2,1,2
14011097587,0,1,0,1,3,2,1,3,0,3,2,1,3,0,3,2,0,3,3,2,1,1,2,0,3,2,3,3,3,3,2,3,3,3,0,1,1,1,3,1,1,3,0,2,2,1,3,1,0,3,1,0,3,0,0,0,1,1,3,1,0,2,2,2,2,0,0,2,2,0,0,1,0,0,2,1,3,2,0,3,3,3,0,3,0,3,1,1,0,2,3,0,1,3,3,1,2,3,1,2,1,2,3,2,1,3,2,1,3,2,3,2,0,1,3,2,2,0,1,0,2,1,0,3,2,2,2,0,3,2,3,0,0,3,1,0,3,1,1,2,3,2,1,3,1,1,0,3,0,0,0,1,2,2,3,3,0,1,0,3,3,2,3,3,2,0,2,1,3,1,2,0,3,0,2,3,3,1,3,1,1,1,3,2,0,3,2,0,2,3,0,1,1,0,2,2,3,1,1,3,1,3,2,3,1,0,0,1,3,1,1,1,0,3,2,3,0,3,2,2,2,3,0,3,1,1,2,1,3,3,3,1,1,1,0,2,3,2,2,0,0,3,0,1,3,1,2,2,3,0,0,0,0,2,3,0,1,0,2,0,1,1,0,3,0,1,3,2,1,1
14011097588,2,0,1,0,2,1,1,2,1,2,1,1,0,0,2,2,2,1,2,0,3,3,2,0,1,0,3,3,0,3,3,1,2,1,2,2,0,2,2,0,1,2,0,2,1,1,0,2,0,3,1,2,0,0,0,2,2,3,1,2,0,2,0,2,2,1,3,1,2,2,1,0,1,0,0,3,3,0,0,3,3,2,3,2,0,3,1,2,0,1,2,1,0,1,2,1,1,2,3,0,0,3,3,0,2,3,1,3,1,2,2,1,1,0,0,0,0,2,0,3,1,1,0,2,1,3,0,0,2,3,1,3,3,1,0,2,3,3,3,3,1,1,0,1,1,0,1,0,3,2,1,0,0,1,1,2,2,0,2,0,3,2,3,0,1,1,0,3,3,0,1,3,0,0,1,1,1,0,0,3,2,2,3,3,2,2,1,0,3,3,3,0,2,1,2,0,1,3,2,3,0,3,2,3,1,3,1,3,1,0,1,2,2,1,2,1,3,2,0,3,0,2,0,2,3,2,0,2,3,1,3,2,1,1,0,2,0,1,2,3,1,1,3,1,0,1,0,0,1,0,2,0,3,0,1,1,1,1,2,1,3,1,0,2,3,3,2,1,2,1
14011097588,2,2,3,4,4,2,5,2,2,4,5,5,5,5,5,5,4,5,3,2,2,3,3,5,4,4,5,5,2,3,2,4,5,4,4,3,3,2,5,2,5,2,2,5,2,2,2,3,5,5,5,4,2,4,5,3,2,4,3,5,4,5,2,2,2,4,4,2,5,4,3,2,2,3,4,2,3,4,4,5,3,5,4,4,5,4,2,4,4,5,4,4,4,4,4,5,4,2,3,5,2,3,3,3,3,5,3,2,4,2,3,2,4,5,4,3,5,3,5,5,3,5,3,4,4,2,5,3,5,2,3,3,3,5,5,5,4,5,5,2,4,3,5,3,3,2,4,5,3,5,5,5,4,3,4,5,2,4,3,3,3,2,5,5,3,3,5,5,5,3,5,2,5,2,4,2,3,3,3,3,4,5,5,5,3,2,3,2,4,2,4,3,2,3,4,5,5,3,3,3,5,4,4,4,3,4,3,4,3,3,5,3,3,5,3,2,2,5,5,5,2,5,3,2,2,3,4,4,3,3,5,3,5,2,5,2,3,5,4,3,4,2,3,5,2,5,2,3,4,4,4,4,3,3,5,5,2,4,4,3,4,3,5,2,2,2,5,3,3,3
14011097593,0,3,1,2,0,3,0,0,2,2,0,1,2,2,3,0,3,3,1,3,0,3,1,3,2,3,3,0,0,1,0,2,0,0,2,2,1,2,1,2,0,0,3,1,1,0,0,1,2,1,3,3,0,1,2,3,2,2,3,0,1,0,0,2,2,0,3,1,2,0,2,3,3,2,1,1,2,2,1,1,2,2,2,3,0,0,0,2,1,3,2,1,0,0,2,2,3,1,2,2,1,0,2,0,3,2,0,2,3,2,2,3,1,0,2,3,0,3,2,3,2,3,2,3,2,0,3,1,3,1,3,2,2,1,0,3,1,0,3,2,1,1,3,0,2,0,1,1,3,1,1,3,3,2,0,1,1,0,3,1,0,3,3,1,1,0,0,3,1,2,0,1,0,3,2,2,1,1,0,3,3,2,0,2,2,0,3,0,0,3,1,2,0,3,0,2,0,3,3,3,2,1,2,1,3,2,0,0,1,1,2,1,0,1,1,3,0,1,2,3,2,1,1,0,1,2,0,0,3,2,1,1,1,1,2,1,3,2,0,1,0,3,3,0,1,2,1,0,3,1,2,1,3,1,2,1,0,2,1,2,1,2,1,2,1,3,2,0,1,0
